REF_DATE,Open,High,Low,Close,Adj Close,Volume
2000-01,8726.2332,8845.39978,7811.314,7955.2645,7955.2654,6874644545
2000-02,8496.299805,9557.599609,8438.400391,9129,9129,907177500
2000-03,9317.900391,10176.7002,9191.900391,9462.400391,9462.400391,1364783800
2000-04,9520.700195,9640.099609,8421.599609,9347.599609,9347.599609,1839722300
2000-05,9399.099609,9620.5,8807.400391,9252,9252,2137767400
2000-06,9397.900391,10310.09961,9397.900391,10195.5,10195.5,1916390000
2000-07,10195.5,10983.29981,10153.09961,10406.29981,10406.29981,1496248000
2000-08,10456.7002,11325.40039,10181.5,11247.90039,11247.90039,1777334700
2000-09,11375.40039,11402,10203,10377.90039,10377.90039,1752648800
2000-10,10491.7002,10701.5,9185.599609,9639.599609,9639.599609,2147719000
2000-11,9561.299805,9786.200195,8593.5,8819.900391,8819.900391,1865611100
2000-12,8896.799805,9661.5,8561.900391,8933.700195,8933.700195,1999559800
2001-01,8961.799805,9425.5,8474.299805,9321.900391,9321.900391,2150227000
2001-02,9276.400391,9367.799805,7913.799805,8078.700195,8078.700195,2073520300
2001-03,8033.100098,8315.400391,7438.5,7608,7608,2363551000
2001-04,7633.299805,8147.700195,7382,7946.600098,7946.600098,2109652800
2001-05,7915.600098,8409.099609,7864.5,8161.899902,8161.899902,2534824200
2001-06,8180.100098,8334.799805,7519.5,7736.399902,7736.399902,2347854900
2001-07,7736.399902,7765.600098,7531.600098,7689.700195,7689.700195,1597000400
2001-08,7703,7777.100098,7397.399902,7399.200195,7399.200195,1681793200
2001-09,7420.299805,7513.600098,6301.5,6838.600098,6838.600098,1959064300
2001-10,6801.899902,7077.299805,6766.399902,6885.700195,6885.700195,2277342500
2001-11,6904.600098,7496,6864.799805,7425.700195,7425.700195,2368759700
2001-12,7366,7729.299805,7346.600098,7688.399902,7688.399902,1989709200
2002-01,7679.600098,7875.700195,7468.899902,7648.5,7648.5,2086937300
2002-02,7641.100098,7707.399902,7402.700195,7637.5,7637.5,2091999100
2002-03,7672.899902,7992.700195,7662.299805,7851.5,7851.5,2337427200
2002-04,7854,7932.100098,7569.5,7663.399902,7663.399902,2398755700
2002-05,7646.600098,7746.5,7539.200195,7656.100098,7656.100098,2274294900
2002-06,7631.399902,7668.399902,7003.700195,7145.600098,7145.600098,2862082800
2002-07,7145.600098,7145.600098,5992.100098,6605.399902,6605.399902,2643161500
2002-08,6573.100098,6737.899902,6431.5,6612,6612,2146800600
2002-09,6565.700195,6629.200195,6037.100098,6180.399902,6180.399902,2455891700
2002-10,6177.899902,6452.799805,5678.299805,6248.799805,6248.799805,3003583400
2002-11,6247.799805,6636.399902,6227.299805,6570.399902,6570.399902,2685316700
2002-12,6652,6725.5,6491.799805,6614.5,6614.5,2744226100
2003-01,6632.299805,6852.5,6478.100098,6569.5,6569.5,2880277700
2003-02,6591.299805,6618.399902,6428.100098,6555.100098,6555.100098,1957129500
2003-03,6570.5,6597.5,6204.899902,6343.299805,6343.299805,2292977000
2003-04,6351.200195,6633.700195,6316.200195,6586.100098,6586.100098,2446353800
2003-05,6584.100098,6868.200195,6538.799805,6859.799805,6859.799805,2552088100
2003-06,6885.799805,7129.200195,6859.799805,6983.100098,6983.100098,2592288400
2003-07,6983.100098,7311.5,6981.399902,7257.899902,7257.899902,2609260000
2003-08,7226.5,7546.700195,7122.600098,7510.299805,7510.299805,2118619400
2003-09,7507.700195,7667.100098,7379.899902,7421.100098,7421.100098,3180006500
2003-10,7433.100098,7819,7421.100098,7772.700195,7772.700195,2700141600
2003-11,7799,7908.700195,7710.700195,7859.399902,7859.399902,2205310500
2003-12,7896.5,8276.799805,7859.399902,8220.900391,8220.900391,2514021600
2004-01,8241.200195,8645.299805,8220.900391,8521.400391,8521.400391,3348367600
2004-02,8546.900391,8808.799805,8521.200195,8788.5,8788.5,2620558700
2004-03,8840.599609,8885.599609,8416,8585.900391,8585.900391,3385866200
2004-04,8632.099609,8920.799805,8217.700195,8244,8244,3002144600
2004-05,8283.799805,8481.400391,8098.100098,8417.299805,8417.299805,2557196600
2004-06,8390.200195,8578.099609,8274.900391,8545.599609,8545.599609,2520716500
2004-07,8545.599609,8545.599609,8242.799805,8458.099609,8458.099609,2228622500
2004-08,8458.099609,8503.799805,8116.200195,8377,8377,2153111100
2004-09,8356.099609,8672,8320.099609,8668.299805,8668.299805,2432324400
2004-10,8665.099609,8900,8663.400391,8871,8871,2523166500
2004-11,8877.700195,9078.700195,8795.5,9030.099609,9030.099609,2632697900
2004-12,9037.799805,9287.400391,8965.299805,9246.700195,9246.700195,2440751300
2005-01,9246.700195,9246.799805,8952.799805,9204.099609,9204.099609,2335454800
2005-02,9211.5,9774.599609,9204.099609,9668.299805,9668.299805,2446392600
2005-03,9701.200195,9968.400391,9390.5,9612.400391,9612.400391,2955365700
2005-04,9675.299805,9701.400391,9243.700195,9369.299805,9369.299805,2377228200
2005-05,9349.099609,9679.900391,9261.5,9607.299805,9607.299805,2304422000
2005-06,9618.400391,10075,9604.599609,9902.799805,9902.799805,2615060500
2005-07,9902.799805,10542,9902.799805,10422.90039,10422.90039,2116858500
2005-08,10422.90039,10728.59961,10373.2002,10668.90039,10668.90039,2824134500
2005-09,10675.59961,11135.5,10668.90039,11011.79981,11011.79981,3151830700
2005-10,11035,11084.59961,10145.09961,10383.29981,10383.29981,2812107900
2005-11,10390,11146.09961,10383.29981,10824.09961,10824.09961,2905177100
2005-12,10868.2002,11296.79981,10824.09961,11272.29981,11272.29981,2722575800
2006-01,11304.59961,12000,11272.29981,11945.59961,11945.59961,3633925900
2006-02,11962.79981,12080.5,11458.40039,11688.29981,11688.29981,3608163800
2006-03,11694.7002,12287.5,11649.40039,12110.59961,12110.59961,3957488300
2006-04,12200.7002,12494.7002,12110.59961,12204.2002,12204.2002,3406152500
2006-05,12289.2002,12420.59961,11345.09961,11744.5,11744.5,4295340200
2006-06,11695,11932.40039,10860.7002,11612.90039,11612.90039,3775487000
2006-07,11612.90039,11929.90039,11410.40039,11831,11831,3136692400
2006-08,11864.09961,12226.59961,11817.5,12073.79981,12073.79981,3675088700
2006-09,12121.59961,12210.90039,11464.59961,11761.29981,11761.29981,4193771000
2006-10,11767.40039,12415.90039,11407.29981,12344.59961,12344.59961,4475722400
2006-11,12023.29981,12782.59961,12002.59961,12752.40039,12752.40039,4723027800
2006-12,12757.40039,13053.2002,12665.90039,12908.40039,12908.40039,3088822000
2007-01,12924.5,13074.09961,12412.59961,13034.09961,13034.09961,4150428500
2007-02,13090.7002,13433,12947.90039,13045,13045,3861226900
2007-03,12920,13308.09961,12661.5,13165.5,13165.5,4271469800
2007-04,13185.29981,13713.09961,13165.5,13416.7002,13416.7002,4050566100
2007-05,13430.2002,14216.2002,13305.09961,14056.79981,14056.79981,4790405400
2007-06,14084.5,14209.40039,13535.29981,13906.59961,13906.59961,4675035500
2007-07,13906.59961,14646.79981,13705,13868.59961,13868.59961,4474079300
2007-08,13751.79981,13868.59961,12463.79981,13660.5,13660.5,4721564300
2007-09,13673.7002,14167.29981,13539.90039,14098.90039,14098.90039,4226559100
2007-10,14113.09961,14625,13869.09961,14625,14625,5344499900
2007-11,14485.7002,14625,13190.09961,13689.09961,13689.09961,5057926500
2007-12,13671.59961,14027.2002,13295.59961,13833.09961,13833.09961,3587962200
2008-01,13907.7002,14037.7002,11982.90039,13155.09961,13155.09961,5246150100
2008-02,13202.59961,13891.79981,12747.59961,13582.7002,13582.7002,4505827300
2008-03,13622.5,13667.59961,12453.90039,13350.09961,13350.09961,5009775900
2008-04,13337.7002,14372.29981,13254,13937,13937,4755252900
2008-05,13920.29981,15128.59961,13846.59961,14714.7002,14714.7002,4794265700
2008-06,14673.90039,15154.79981,14156.5,14467,14467,4708141000
2008-07,14467,14584.90039,13157.90039,13592.90039,13592.90039,5117166900
2008-08,13645.09961,13771.29981,13015.90039,13771.29981,13771.29981,4070964700
2008-09,13558.79981,13771.29981,11171.29981,11752.90039,11752.90039,6508455900
2008-10,11730.7002,11775.79981,8537.299805,9762.799805,9762.799805,6990780400
2008-11,9841.299805,10199.79981,7647.100098,9270.599609,9270.599609,5928069900
2008-12,8816.400391,9270.599609,7802.299805,8987.700195,8987.700195,5650908400
2009-01,8951.900391,9505.700195,8387.599609,8694.900391,8694.900391,4769963000
